Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
HILn_QI38__caprylate,143.1079,HILIC-neg,True,Caprylic acid,HMDB0000482,C06423,WWZKQHOCKIZLMA-UHFFFAOYSA-N,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI73__imidazolelactate,155.0462,HILIC-neg,True,Imidazolelactic acid,HMDB0002320,C05132,,
C18n_QI42__docosapentaenoate,329.2487,C18-neg,False,Docosapentaenoic acid (22n-6),HMDB0001976,,,
C18n_TF2__3-hydroxydecanoate,187.134,C18-neg,True,3-Hydroxycapric acid,HMDB0002203,,,
C8p_QI154__NH4_C50:3 TAG,846.7542,C8-pos,True,,,,,
HILn_QI95__pantothenate,218.1035,HILIC-neg,False,Pantothenic acid,HMDB0000210,C00864,GHOKWGTUZJEAQD-ZETCQYMHSA-N,11100000011100100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000111000010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000010000000000000000000000000000000000000000000000000000000000000000010000001010010000000000000000000000000100001000000011000000000001000000000000000000001000100000000000000000001110001011000000000100100000000000000000000001000100000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI86__C22:4 CE,723.6048,C8-pos,False,"CE(22:4(7Z,10Z,13Z,16Z))",HMDB0006729,C02530,,
C18n_QI36__eicosatrienoate,305.2489,C18-neg,True,"8,11,14-Eicosatrienoic acid",HMDB0002925,C03242,HOBAELRKJCKHQD-QNEBEIHSSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF26__beta-guanidinopropionic acid,132.0771,HILIC-pos,True,Beta-Guanidinopropionic acid,HMDB0013222,C03065,KMXXSJLYVJEBHI-UHFFFAOYSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000000000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI69__sebacate,201.1126,C18-neg,False,Sebacic acid,HMDB0000792,C08277,CXMXRPHRNRROMY-UHFFFAOYSA-N,11100000011100000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI93__C22:1 MAG,435.3444,C8-pos,False,MG(22:1(13Z)/0:0/0:0),HMDB0011582,,,
HILp_QI4793__N-alpha-acetylarginine,217.1298,HILIC-pos,False,N-a-Acetyl-L-arginine,HMDB0004620,,,
HILn_QI124__tyrosine,180.0668,HILIC-neg,False,L-Tyrosine,HMDB0000158,C00082,OUYCCCASQSFEME-QMMMGPOBSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101100110000011001100000000100001100000000111010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100010000001100001100000100010001000000010100010011000110010100000101001000100010011100000000111000000000000001001001101000000010001000010001001100000000111100110001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI70__carboxyibuprofen,235.0973,C18-neg,True,,,,,
C8p_QI90__NH4_C16:1 MAG,334.2952,C8-pos,True,,,,,
HILp_QI1890__methionine,150.0588,HILIC-pos,False,L-Methionine,HMDB0000696,C00073,FFEARJCKVFRZRR-BYPYZUCNSA-N,11000000011000100011000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000100000100000000000010000000000001000001000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000010000000000000000000010000001100000000000000000000000000000100000000000010000001000000000000000000000000000000100000000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI94__NH4_C22:1 MAG,430.388,C8-pos,True,,,,,
HILn_QI10__3-methyladipate/pimelate,159.0664,HILIC-neg,False,3-Methyladipic acid,HMDB0000555,,,
C18n_QI66__salicylate,137.0233,C18-neg,False,Salicylic acid,HMDB0001895,C00805,YGSDEFSMJLZEOE-UHFFFAOYSA-N,10000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000111010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001001000010000000000000000010001000100000000001000001100000100011001000000010000010011100110110100000100001010100010010100000000111000101000000001001011110000000010001000010001001100110000111100010001100100000100000100011100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000
HILp_TF48__ADMA/SDMA,203.1507,HILIC-pos,False,Asymmetric dimethylarginine,HMDB0001539,C03626,YDGMGEXADBMOMJ-LURJTMIESA-N,11100000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000110000100000000011010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000010000000010000001100010000000000000000000100000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100110000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI68__C18:3 CE,669.5579,C8-pos,False,"CE(18:3(9Z,12Z,15Z))",HMDB0010370,C02530,,
C8p_QI107__C34:0 DAG,619.5271,C8-pos,False,DG(16:0/18:0/0:0),HMDB0007100,C00165,,
HILn_QI90__N-acetylglutamate,188.0567,HILIC-neg,True,N-Acetylglutamic acid,HMDB0001138,C00624,RFMMMVDNIPUKGG-YFKPBYRVSA-N,11000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000000101011000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI17__C20:4 LPE,502.2933,C8-pos,True,"LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)",HMDB0011517,,,
C8p_QI46__sphingosine,300.2897,C8-pos,False,Sphingosine,HMDB0000252,C00319,WWUZIQQURGPMPG-KRWOKUGFSA-N,11110000011110100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000111100111000011000000000000110000000100000000000000000010000000000001000000000100000000000000000100000010000100000000000000000000000000000000000000000001000000000000000000000000010000000100010000000000000000000000000001000000000100001010000000010000000000000000100000000000000000101000000000000000001011001000000000000000010000001000000000011000000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
